Year,Date,Product,Overall Range Min,Overall Range Max,Common Price
2021,2021-04-01,Gasoline (RON97/100),47.45,59.82,55.94
2021,2021-04-01,Gasoline (RON95),40.3,57.82,52.22
2021,2021-04-01,Gasoline (RON91),39.8,57.45,49.26
2021,2021-04-01,Diesel,33.8,43.8,39.73
2021,2021-04-01,Diesel Plus,36.85,45.05,41.62
2021,2021-04-01,Kerosene,42.04,54.1,
2021,2021-04-08,Gasoline (RON97/100),48.1,60.47,56.59
2021,2021-04-08,Gasoline (RON95),40.95,58.47,52.87
2021,2021-04-08,Gasoline (RON91),40.45,58.1,49.91
2021,2021-04-08,Diesel,33.65,43.85,39.51
2021,2021-04-08,Diesel Plus,36.9,45.1,41.56
2021,2021-04-08,Kerosene,42.09,54.1,
2021,2021-04-15,Gasoline (RON97/100),47.85,60.22,56.34
2021,2021-04-15,Gasoline (RON95),40.7,58.22,51.45
2021,2021-04-15,Gasoline (RON91),40.2,57.85,49.66
2021,2021-04-15,Diesel,33.65,43.85,39.51
2021,2021-04-15,Diesel Plus,36.9,45.16,41.51
2021,2021-04-15,Kerosene,41.99,53.95,
2021,2021-04-22,Gasoline (RON97/100),48.45,60.82,56.94
2021,2021-04-22,Gasoline (RON95),40.7,58.95,51.88
2021,2021-04-22,Gasoline (RON91),40.2,58.45,51.16
2021,2021-04-22,Diesel,33.85,48.09,40.21
2021,2021-04-22,Diesel Plus,36.9,46.3,41.66
2021,2021-04-22,Kerosene,42.84,53.95,
2021,2021-04-29,Gasoline (RON97/100),48.9,61.27,57.39
2021,2021-04-29,Gasoline (RON95),40.7,59.27,53.0
2021,2021-04-29,Gasoline (RON91),40.2,58.9,51.61
2021,2021-04-29,Diesel,33.85,48.44,40.54
2021,2021-04-29,Diesel Plus,37.25,46.65,42.34
2021,2021-04-29,Kerosene,43.49,54.6,
2021,2021-08-05,Gasoline (RON97/100),55.2,67.25,62.98
2021,2021-08-05,Gasoline (RON95),46.35,65.5,57.92
2021,2021-08-05,Gasoline (RON91),45.55,64.5,55.61
2021,2021-08-05,Diesel,37.8,48.8,45.63
2021,2021-08-05,Diesel Plus,42.2,51.27,47.83
2021,2021-08-05,Kerosene,47.99,57.34,
2021,2021-08-12,Gasoline (RON97/100),52.45,66.6,62.33
