Year,Date,Product,Overall Range Min,Overall Range Max,Common Price
2024,2024-04-16,Gasoline (RON97/100),61.25,87.77,79.8
2024,2024-04-16,Gasoline (RON95),59.0,83.15,73.95
2024,2024-04-16,Gasoline (RON91),58.0,77.5,69.0
2024,2024-04-16,Diesel,54.3,69.5,62.05
2024,2024-04-16,Diesel Plus,60.7,82.8,70.5
2024,2024-04-16,Kerosene,74.29,86.04,75.91
2024,2024-04-23,Gasoline (RON97/100),61.8,88.72,75.8
2024,2024-04-23,Gasoline (RON95),59.0,83.7,74.5
2024,2024-04-23,Gasoline (RON91),58.0,78.05,62.7
2024,2024-04-23,Diesel,53.35,68.55,60.0
2024,2024-04-23,Diesel Plus,60.7,81.85,69.55
2024,2024-04-23,Kerosene,73.19,84.96,74.81
2024,2024-04-30,Gasoline (RON97/100),61.55,88.47,80.1
2024,2024-04-30,Gasoline (RON95),59.0,83.45,72.7
2024,2024-04-30,Gasoline (RON91),58.0,77.8,66.3
2024,2024-04-30,Diesel,52.9,68.1,61.95
2024,2024-04-30,Diesel Plus,59.7,81.4,71.28
2024,2024-04-30,Kerosene,72.29,84.06,73.91
2024,2024-04-09,Gasoline (RON97/100),62.25,87.77,74.85
2024,2024-04-09,Gasoline (RON95),58.65,82.76,65.65
2024,2024-04-09,Gasoline (RON91),57.85,77.1,65.65
2024,2024-04-09,Diesel,53.52,68.55,61.1
2024,2024-04-09,Diesel Plus,59.15,81.85,69.55
2024,2024-04-09,Kerosene,73.44,85.19,75.06
2024,2024-08-06,Gasoline (RON97/100),56.4,87.97,64.0
2024,2024-08-06,Gasoline (RON95),55.0,76.24,61.25
2024,2024-08-06,Gasoline (RON91),54.0,71.6,63.1
2024,2024-08-06,Diesel,51.0,65.1,59.75
2024,2024-08-06,Diesel Plus,56.7,74.1,70.1
2024,2024-08-06,Kerosene,71.89,83.25,72.9
2024,2024-08-13,Gasoline (RON97/100),56.1,85.52,72.75
2024,2024-08-13,Gasoline (RON95),53.0,73.79,65.4
2024,2024-08-13,Gasoline (RON91),52.0,69.15,63.35
2024,2024-08-13,Diesel,49.0,63.2,54.5
2024,2024-08-13,Diesel Plus,54.55,72.24,68.2
2024,2024-08-13,Kerosene,69.49,80.85,70.51
2024,2024-08-20,Gasoline (RON97/100),55.7,86.52,69.17
2024,2024-08-20,Gasoline (RON95),53.7,74.65,66.4
2024,2024-08-20,Gasoline (RON91),52.7,70.15,64.35
2024,2024-08-20,Diesel,49.8,64.4,55.4
2024,2024-08-20,Diesel Plus,56.0,73.44,69.4
2024,2024-08-20,Kerosene,70.49,83.7,71.51
2024,2024-08-27,Gasoline (RON97/100),54.2,85.37,69.59
2024,2024-08-27,Gasoline (RON95),52.8,73.5,61.25
2024,2024-08-27,Gasoline (RON91),51.8,69.0,59.9
2024,2024-08-27,Diesel,48.0,62.5,53.5
2024,2024-08-27,Diesel Plus,54.1,71.4,66.45
2024,2024-08-27,Kerosene,68.64,83.7,69.66
2024,2024-12-10,Gasoline (RON97/100),52.65,73.76,66.33
2024,2024-12-10,Gasoline (RON95),50.55,73.62,53.45
2024,2024-12-10,Gasoline (RON91),49.75,68.45,56.0
2024,2024-12-10,Diesel,48.2,64.99,53.5
2024,2024-12-10,Diesel Plus,54.3,69.35,54.3
2024,2024-12-10,Kerosene,69.99,80.84,71.02
2024,2024-12-17,Gasoline (RON97/100),53.85,74.5,69.58
2024,2024-12-17,Gasoline (RON95),51.35,74.42,59.6
2024,2024-12-17,Gasoline (RON91),50.75,69.25,57.6
2024,2024-12-17,Diesel,49.0,65.79,53.9
2024,2024-12-17,Diesel Plus,51.07,70.0,66.84
2024,2024-12-17,Kerosene,61.98,80.94,71.12
2024,2024-12-24,Gasoline (RON97/100),53.85,75.0,67.63
2024,2024-12-24,Gasoline (RON95),51.75,74.92,58.6
2024,2024-12-24,Gasoline (RON91),51.15,69.75,57.3
2024,2024-12-24,Diesel,49.0,67.24,55.35
2024,2024-12-24,Diesel Plus,54.5,71.9,68.29
2024,2024-12-24,Kerosene,70.29,81.69,71.85
2024,2024-12-03,Gasoline (RON97/100),52.4,75.25,65.93
2024,2024-12-03,Gasoline (RON95),50.55,73.22,61.65
2024,2024-12-03,Gasoline (RON91),49.75,68.05,55.6
2024,2024-12-03,Diesel,48.25,65.49,51.8
2024,2024-12-03,Diesel Plus,54.8,71.4,54.8
2024,2024-12-03,Kerosene,70.74,81.59,71.74
2024,2024-12-31,Gasoline (RON97/100),53.55,74.54,69.78
2024,2024-12-31,Gasoline (RON95),51.45,74.62,58.3
2024,2024-12-31,Gasoline (RON91),50.85,68.49,57.0
2024,2024-12-31,Diesel,48.77,66.94,55.05
2024,2024-12-31,Diesel Plus,55.0,71.3,67.99
2024,2024-12-31,Kerosene,69.94,81.2,70.95
2024,2024-02-01,Gasoline (RON97/100),58.9,81.8,75.65
2024,2024-02-01,Gasoline (RON95),56.6,79.8,70.1
2024,2024-02-01,Gasoline (RON91),56.3,71.55,64.35
2024,2024-02-01,Diesel,52.9,66.0,60.0
2024,2024-02-01,Diesel Plus,58.25,82.06,59.75
2024,2024-02-01,Kerosene,72.09,83.48,73.71
2024,2024-02-08,Gasoline (RON97/100),59.65,81.58,72.16
2024,2024-02-08,Gasoline (RON95),56.6,78.95,70.85
2024,2024-02-08,Gasoline (RON91),56.3,72.3,63.65
2024,2024-02-08,Diesel,52.9,67.5,58.95
2024,2024-02-08,Diesel Plus,59.75,83.56,62.95
2024,2024-02-08,Kerosene,72.85,84.28,74.51
2024,2024-02-15,Gasoline (RON97/100),59.05,80.53,71.56
2024,2024-02-15,Gasoline (RON95),55.9,78.35,70.25
2024,2024-02-15,Gasoline (RON91),55.6,72.35,63.05
2024,2024-02-15,Diesel,53.77,67.4,61.0
2024,2024-02-15,Diesel Plus,59.65,83.46,61.15
2024,2024-02-15,Kerosene,72.49,83.84,74.11
2024,2024-02-20,Gasoline (RON97/100),59.8,88.88,76.25
2024,2024-02-20,Gasoline (RON95),55.9,79.95,66.25
2024,2024-02-20,Gasoline (RON91),55.6,73.95,67.35
2024,2024-02-20,Diesel,54.35,67.9,60.8
2024,2024-02-20,Diesel Plus,60.3,84.56,70.85
2024,2024-02-20,Kerosene,73.25,83.88,75.16
2024,2024-02-27,Gasoline (RON97/100),59.1,81.25,75.55
2024,2024-02-27,Gasoline (RON95),56.6,79.25,65.55
2024,2024-02-27,Gasoline (RON91),56.3,73.25,66.65
2024,2024-02-27,Diesel,54.0,66.95,58.3
2024,2024-02-27,Diesel Plus,59.35,83.61,69.04
2024,2024-02-27,Kerosene,72.44,83.83,74.06
2024,2024-01-04,Gasoline (RON97/100),54.8,77.3,71.15
2024,2024-01-04,Gasoline (RON95),53.4,76.15,65.6
2024,2024-01-04,Gasoline (RON91),53.2,75.15,62.5
2024,2024-01-04,Diesel,50.49,66.5,59.2
2024,2024-01-04,Diesel Plus,55.95,78.81,67.15
2024,2024-01-04,Kerosene,70.64,82.03,72.26
2024,2024-01-09,Gasoline (RON97/100),54.8,77.4,71.25
2024,2024-01-09,Gasoline (RON95),53.4,76.25,65.7
2024,2024-01-09,Gasoline (RON91),52.9,75.25,62.5
2024,2024-01-09,Diesel,50.49,66.6,60.1
2024,2024-01-09,Diesel Plus,57.35,78.91,67.25
2024,2024-01-09,Kerosene,70.74,82.03,
2024,2024-01-16,Gasoline (RON97/100),53.3,77.7,71.55
2024,2024-01-16,Gasoline (RON95),52.3,76.55,66.0
2024,2024-01-16,Gasoline (RON91),51.9,75.55,64.1
2024,2024-01-16,Diesel,51.0,67.5,61.0
2024,2024-01-16,Diesel Plus,57.0,79.81,68.15
2024,2024-01-16,Kerosene,71.64,83.03,73.26
2024,2024-01-25,Gasoline (RON97/100),56.1,79.0,69.35
2024,2024-01-25,Gasoline (RON95),54.7,77.85,67.3
2024,2024-01-25,Gasoline (RON91),54.0,76.85,65.4
