Year,Date,Product,Overall Range Min,Overall Range Max,Common Price
2022,2022-06-23,Gasoline (RON97/100),79.75,93.35,87.32
2022,2022-06-23,Gasoline (RON95),76.95,89.35,85.29
2022,2022-06-23,Gasoline (RON91),75.95,88.6,83.92
2022,2022-06-23,Diesel,81.55,91.6,89.02
2022,2022-06-23,Diesel Plus,86.05,95.85,92.02
2022,2022-06-23,Kerosene,89.64,99.04,97.25
2022,2022-10-27,Gasoline (RON97/100),63.15,76.65,74.42
2022,2022-10-27,Gasoline (RON95),61.0,74.25,68.18
2022,2022-10-27,Gasoline (RON91),60.0,73.79,67.95
2022,2022-10-27,Diesel,70.0,82.21,78.73
2022,2022-10-27,Diesel Plus,75.7,85.8,81.1
2022,2022-10-27,Kerosene,79.65,89.8,
2022,2022-04-07,Gasoline (RON97/100),67.6,82.7,82.15
2022,2022-04-07,Gasoline (RON95),65.6,80.7,71.92
2022,2022-04-07,Gasoline (RON91),64.75,76.65,71.5
2022,2022-04-07,Diesel,63.0,74.05,70.82
2022,2022-04-07,Diesel Plus,71.8,79.1,72.67
2022,2022-04-07,Kerosene,73.09,83.49,81.7
2022,2022-04-15,Gasoline (RON97/100),66.6,81.7,81.15
2022,2022-04-15,Gasoline (RON95),64.6,78.15,71.55
2022,2022-04-15,Gasoline (RON91),64.1,75.65,70.73
2022,2022-04-15,Diesel,63.0,73.7,70.55
2022,2022-04-15,Diesel Plus,71.6,78.75,72.32
2022,2022-04-15,Kerosene,70.09,80.49,78.7
2022,2022-04-19,Gasoline (RON97/100),67.05,82.15,81.6
2022,2022-04-19,Gasoline (RON95),65.05,76.4,72.52
2022,2022-04-19,Gasoline (RON91),64.2,76.1,70.77
2022,2022-04-19,Diesel,65.25,75.4,72.57
2022,2022-04-19,Diesel Plus,73.3,79.95,74.02
2022,2022-04-19,Kerosene,70.54,80.94,75.86
2022,2022-04-28,Gasoline (RON97/100),70.05,85.15,84.6
2022,2022-04-28,Gasoline (RON95),66.95,79.4,75.73
2022,2022-04-28,Gasoline (RON91),66.45,79.1,73.66
2022,2022-04-28,Diesel,68.2,79.5,76.39
2022,2022-04-28,Diesel Plus,77.0,84.05,78.12
2022,2022-04-28,Kerosene,72.73,84.44,82.65
2022,2022-08-04,Gasoline (RON97/100),69.85,81.6,76.32
2022,2022-08-04,Gasoline (RON95),66.2,78.56,75.67
2022,2022-08-04,Gasoline (RON91),65.7,77.7,75.32
2022,2022-08-04,Diesel,69.8,78.96,76.52
2022,2022-08-04,Diesel Plus,75.0,83.06,79.58
2022,2022-08-04,Kerosene,77.29,87.9,
2022,2022-08-11,Gasoline (RON97/100),67.75,80.7,
2022,2022-08-11,Gasoline (RON95),64.1,77.79,72.7
2022,2022-08-11,Gasoline (RON91),63.6,77.39,71.76
2022,2022-08-11,Diesel,67.6,77.15,74.28
2022,2022-08-11,Diesel Plus,72.8,80.2,77.38
2022,2022-08-11,Kerosene,73.44,85.35,
2022,2022-08-18,Gasoline (RON97/100),67.65,78.56,
2022,2022-08-18,Gasoline (RON95),64.0,77.69,72.11
2022,2022-08-18,Gasoline (RON91),63.5,77.29,72.76
2022,2022-08-18,Diesel,66.55,75.71,72.51
2022,2022-08-18,Diesel Plus,71.75,79.3,76.32
2022,2022-08-18,Kerosene,72.99,84.9,
2022,2022-08-25,Gasoline (RON97/100),68.3,78.1,78.1
2022,2022-08-25,Gasoline (RON95),64.7,78.39,73.11
2022,2022-08-25,Gasoline (RON91),64.0,77.99,72.11
2022,2022-08-25,Diesel,68.0,77.64,75.58
2022,2022-08-25,Diesel Plus,72.7,80.45,78.5
2022,2022-08-25,Kerosene,77.55,87.7,
2022,2022-12-03,Gasoline (RON97/100),63.1,77.45,71.72
2022,2022-12-03,Gasoline (RON95),57.0,74.89,67.12
2022,2022-12-03,Gasoline (RON91),56.0,74.49,66.12
2022,2022-12-03,Diesel,62.0,74.7,69.73
2022,2022-12-03,Diesel Plus,67.6,78.1,72.85
2022,2022-12-03,Kerosene,75.65,85.8,
2022,2022-12-09,Gasoline (RON97/100),61.1,75.5,69.78
2022,2022-12-09,Gasoline (RON95),55.0,72.89,64.31
