Year,Date,Product,Overall Range Min,Overall Range Max,Common Price
2020,2020-04-01,Gasoline (RON97/100),34.3,43.78,41.52
2020,2020-04-01,Gasoline (RON95),31.52,45.27,40.77
2020,2020-04-01,Gasoline (RON91),31.02,43.77,39.33
2020,2020-04-01,Diesel,26.6,35.08,31.68
2020,2020-04-01,Diesel Plus,30.83,39.18,32.93
2020,2020-04-01,Kerosene,28.93,40.65,
2020,2020-04-08,Gasoline (RON97/100),33.95,43.43,42.81
2020,2020-04-08,Gasoline (RON95),31.17,42.92,41.67
2020,2020-04-08,Gasoline (RON91),30.67,41.86,39.37
2020,2020-04-08,Diesel,25.9,34.27,30.98
2020,2020-04-08,Diesel Plus,30.23,37.98,31.78
2020,2020-04-08,Kerosene,28.18,40.2,
2020,2020-04-16,Gasoline (RON97/100),34.5,43.98,43.36
2020,2020-04-16,Gasoline (RON95),31.72,43.81,42.22
2020,2020-04-16,Gasoline (RON91),31.22,42.76,39.92
2020,2020-04-16,Diesel,26.05,34.03,31.13
2020,2020-04-16,Diesel Plus,30.38,38.13,31.93
2020,2020-04-16,Kerosene,27.98,40.0,
2020,2020-04-21,Gasoline (RON97/100),33.95,43.43,42.81
2020,2020-04-21,Gasoline (RON95),31.17,42.92,41.37
2020,2020-04-21,Gasoline (RON91),30.67,41.86,39.35
2020,2020-04-21,Diesel,24.9,32.88,29.98
2020,2020-04-21,Diesel Plus,29.23,36.98,30.78
2020,2020-04-21,Kerosene,27.38,39.1,
2020,2020-04-29,Gasoline (RON97/100),33.75,43.23,42.61
2020,2020-04-29,Gasoline (RON95),30.97,43.06,40.15
2020,2020-04-29,Gasoline (RON91),30.47,42.21,39.17
2020,2020-04-29,Diesel,23.1,31.08,28.61
2020,2020-04-29,Diesel Plus,27.43,35.18,31.47
2020,2020-04-29,Kerosene,25.23,37.5,
2020,2020-08-06,Gasoline (RON97/100),44.15,55.59,
2020,2020-08-06,Gasoline (RON95),41.3,54.45,51.32
2020,2020-08-06,Gasoline (RON91),40.3,52.55,48.02
2020,2020-08-06,Diesel,30.0,40.78,38.49
2020,2020-08-06,Diesel Plus,35.3,42.78,
2020,2020-08-06,Kerosene,34.94,47.65,
2020,2020-08-13,Gasoline (RON97/100),44.4,55.6,51.1
2020,2020-08-13,Gasoline (RON95),41.55,54.7,49.5
2020,2020-08-13,Gasoline (RON91),40.55,52.88,48.47
2020,2020-08-13,Diesel,30.0,40.58,37.06
2020,2020-08-13,Diesel Plus,35.2,42.58,39.67
2020,2020-08-13,Kerosene,34.59,47.15,
2020,2020-08-20,Gasoline (RON97/100),45.0,56.2,55.51
2020,2020-08-20,Gasoline (RON95),41.6,55.48,52.06
2020,2020-08-20,Gasoline (RON91),39.6,53.5,50.12
2020,2020-08-20,Diesel,30.0,39.72,37.16
2020,2020-08-20,Diesel Plus,33.6,41.72,40.14
2020,2020-08-20,Kerosene,34.59,47.15,
2020,2020-12-03,Gasoline (RON97/100),41.95,54.71,52.16
2020,2020-12-03,Gasoline (RON95),34.4,54.15,48.29
2020,2020-12-03,Gasoline (RON91),32.9,52.71,47.71
2020,2020-12-03,Diesel,27.6,39.77,35.3
2020,2020-12-03,Diesel Plus,34.4,40.26,38.2
2020,2020-12-03,Kerosene,35.04,47.9,
2020,2020-12-10,Gasoline (RON97/100),43.2,54.96,52.24
2020,2020-12-10,Gasoline (RON95),35.8,52.67,48.28
2020,2020-12-10,Gasoline (RON91),34.3,52.96,47.67
2020,2020-12-10,Diesel,28.75,40.17,35.71
2020,2020-12-10,Diesel Plus,34.8,40.3,38.39
2020,2020-12-10,Kerosene,0.0,49.6,
2020,2020-12-16,Gasoline (RON97/100),43.7,55.46,52.74
2020,2020-12-16,Gasoline (RON95),35.8,52.71,48.21
2020,2020-12-16,Gasoline (RON91),34.3,53.46,47.74
2020,2020-12-16,Diesel,28.75,40.77,35.86
2020,2020-12-16,Diesel Plus,33.7,40.74,38.99
2020,2020-12-16,Kerosene,37.59,50.15,
2020,2020-12-24,Gasoline (RON97/100),44.45,56.21,53.49
2020,2020-12-24,Gasoline (RON95),35.8,53.46,48.55
