City,Product,Min Price,Max Price,Common Price
Caloocan City,RON 100,#N/A,#N/A,#N/A
Caloocan City,RON 97,62.60,73.05,#N/A
Caloocan City,RON 95,56.00,66.54,66.30
Caloocan City,RON 91,55.00,67.50,65.29
Caloocan City,DIESEL,54.10,63.55,59.85
Caloocan City,DIESEL PLUS,60.05,68.05,61.85
Caloocan City,KEROSENE,70.70,71.92,#N/A
Quezon City,RON 100,64.50,70.30,#N/A
Quezon City,RON 97,59.40,75.05,#N/A
Quezon City,RON 95,58.40,68.55,60.10
Quezon City,RON 91,57.55,66.40,60.35
Quezon City,DIESEL,54.10,61.45,58.05
Quezon City,DIESEL PLUS,60.05,65.30,60.05
Quezon City,KEROSENE,71.54,78.27,#N/A
Manila,RON 100,65.85,71.95,#N/A
Manila,RON 97,62.64,74.65,70.25
Manila,RON 95,60.50,70.15,64.65
Manila,RON 91,58.35,68.55,63.65
Manila,DIESEL,54.70,63.70,60.55
Manila,DIESEL PLUS,60.50,70.71,64.30
Manila,KEROSENE,70.76,76.70,#N/A
Pasig City,RON 100,67.95,74.50,#N/A
Pasig City,RON 97,61.30,73.45,#N/A
Pasig City,RON 95,62.50,68.95,65.65
Pasig City,RON 91,60.30,67.55,64.65
Pasig City,DIESEL,56.95,63.95,61.15
Pasig City,DIESEL PLUS,63.15,68.30,66.30
Pasig City,KEROSENE,71.43,73.70,#N/A
Taguig Cty,RON 100,69.70,69.70,69.70
Taguig Cty,RON 97,64.70,76.45,71.10
Taguig Cty,RON 95,64.70,71.95,66.60
Taguig Cty,RON 91,63.70,70.35,65.00
Taguig Cty,DIESEL,60.05,67.45,60.95
Taguig Cty,DIESEL PLUS,62.95,71.95,62.95
Taguig Cty,KEROSENE,79.64,80.85,#N/A
