Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),65.25,90.15,77.15
Gasoline (RON95),63.05,83.75,70.3
Gasoline (RON91),62.35,79.55,67.5
Diesel,62.95,74.04,69.75
Diesel Plus,67.60,87.10,70.2
Kerosene,80.75,93.09,82.36
