Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),58.2,78.3,72.62
Gasoline (RON95),53.99,73.8,64.96
Gasoline (RON91),53.49,66.94,61.48
Diesel,49.5,61.18,55.96
Diesel Plus,54.25,71.1,63.13
Kerosene,67.44,79.75,#N/A
