Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),62.95,87.95,74.95
Gasoline (RON95),60.85,81.55,68.1
Gasoline (RON91),60.15,77.35,65.15
Diesel,62.50,74.15,68.85
Diesel Plus,68.70,87.32,70.95
Kerosene,79.75,92.09,81.36
