Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),58.70,84.90,71.9
Gasoline (RON95),57.70,78.50,66.25
Gasoline (RON91),57.10,74.30,62.1
Diesel,58.85,71.70,66.4
Diesel Plus,66.25,84.85,68.5
Kerosene,76.75,89.09,78.36
