Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),64.3,81.35,79.12
Gasoline (RON95),60.0,73.75,68.68
Gasoline (RON91),59.0,72.75,68.42
Diesel,59.85,70.4,66.48
Diesel Plus,64.1,76.0,73.57
Kerosene,74.95,85.1,#N/A
