Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),56.80,84.95,76.1
Gasoline (RON95),55.80,75.35,67.75
Gasoline (RON91),55.00,74.35,64.25
Diesel,53.60,66.05,61.65
Diesel Plus,57.20,79.20,69.55
Kerosene,71.40,83.95,73.51
