Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),65.05,89.95,76.95
Gasoline (RON95),63.05,83.55,70.1
Gasoline (RON91),62.30,79.35,67.3
Diesel,62.60,73.75,68.45
Diesel Plus,69.05,86.92,70.45
Kerosene,80.25,92.59,82.63
