Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),57.2,77.45,71.95
Gasoline (RON95),53.0,72.95,61.37
Gasoline (RON91),52.0,67.19,60.78
Diesel,48.0,58.88,53.76
Diesel Plus,52.95,68.0,60.82
Kerosene,64.89,77.5,#N/A
