Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),34.3,43.78,41.52
Gasoline (RON95),31.52,45.27,40.77
Gasoline (RON91),31.02,43.77,39.33
Diesel,26.6,35.08,31.68
Diesel Plus,30.83,39.18,32.93
Kerosene,28.93,40.65,#N/A
