Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),41.2,53.1,#N/A
Gasoline (RON95),43.5,51.85,#N/A
Gasoline (RON91),39.1,51.29,50.08
Diesel,38.1,50.4,48.75
Diesel Plus,29.55,37.81,35.38
Kerosene,34.75,40.04,40.63
