Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),44.4,55.84,#N/A
Gasoline (RON95),41.55,54.7,49.16
Gasoline (RON91),40.55,52.9,44.42
Diesel,30.25,41.08,39.12
Diesel Plus,35.6,43.08,41.22
Kerosene,35.09,47.4,#N/A
