Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),42.0,53.76,51.2
Gasoline (RON95),40.35,53.5,48.28
Gasoline (RON91),39.35,51.76,47.2
Diesel,29.0,37.27,34.4
Diesel Plus,31.9,37.92,35.78
Kerosene,33.99,46.55,#N/A
