Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),40.65,49.61,45.12
Gasoline (RON95),36.3,48.41,43.9
Gasoline (RON91),35.5,47.76,44.4
Diesel,26.8,36.97,32.48
Diesel Plus,32.13,37.58,35.8
Kerosene,31.68,44.75,#N/A
