Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),46.35,56.71,#N/A
Gasoline (RON95),42.87,55.77,51.05
Gasoline (RON91),42.37,54.69,50.84
Diesel,35.5,43.32,39.18
Diesel Plus,37.9,44.28,41.98
Kerosene,41.1,50.65,42.1
