Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),41.8,51.0,51.01
Gasoline (RON95),41.8,50.05,51.01
Gasoline (RON91),34.4,49.31,48.05
Diesel,32.9,48.5,46.6
Diesel Plus,25.9,35.78,34.57
Kerosene,33.3,37.08,37.05
