Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),43.7,52.9,52.74
Gasoline (RON95),43.7,50.77,52.74
Gasoline (RON91),35.8,50.92,48.21
Diesel,34.3,49.8,47.74
Diesel Plus,28.75,37.18,35.86
Kerosene,33.7,39.18,38.99
