Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),46.0,55.35,51.9
Gasoline (RON95),42.75,55.42,51.77
Gasoline (RON91),42.15,54.34,50.22
Diesel,35.6,43.42,40.1
Diesel Plus,38.0,45.36,42.08
Kerosene,40.72,50.75,#N/A
