Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),34.5,43.96,43.36
Gasoline (RON95),34.5,41.47,43.36
Gasoline (RON91),31.72,41.96,40.51
Diesel,31.22,41.03,39.46
Diesel Plus,23.0,29.67,28.51
Kerosene,24.63,30.62,30.12
