Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),41.5,48.95,48.41
Gasoline (RON95),37.02,48.77,46.64
Gasoline (RON91),36.52,47.07,45.86
Diesel,29.5,37.53,34.53
Diesel Plus,33.18,41.18,37.47
Kerosene,34.89,50.0,#N/A
