Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),50.3,60.61,54.95
Gasoline (RON95),46.3,58.41,53.0
Gasoline (RON91),45.55,57.23,51.98
Diesel,39.3,46.64,42.75
Diesel Plus,42.25,48.35,45.68
Kerosene,46.87,54.6,#N/A
