Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),36.3,45.78,45.16
Gasoline (RON95),35.27,48.77,43.05
Gasoline (RON91),34.5,47.25,43.28
Diesel,26.8,37.08,32.18
Diesel Plus,31.33,41.18,32.98
Kerosene,30.88,42.15,#N/A
