Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),45.6,58.24,48.9
Gasoline (RON95),39.5,52.7,47.68
Gasoline (RON91),38.5,50.96,47.96
Diesel,27.58,37.39,34.58
Diesel Plus,31.3,37.73,35.5
Kerosene,32.24,44.8,#N/A
