Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),49.05,59.37,54.1
Gasoline (RON95),44.45,57.16,53.05
Gasoline (RON91),44.01,57.45,51.46
Diesel,38.25,49.35,41.47
Diesel Plus,40.0,46.56,43.45
Kerosene,44.42,52.7,#N/A
