Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),33.95,43.41,42.81
Gasoline (RON95),33.95,40.92,42.81
Gasoline (RON91),31.17,41.41,41.67
Diesel,30.67,40.48,39.37
Diesel Plus,25.9,32.17,30.98
Kerosene,30.23,33.82,31.78
