Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),44.4,55.6,51.1
Gasoline (RON95),41.55,54.7,49.5
Gasoline (RON91),40.55,52.88,48.47
Diesel,30.0,40.58,37.06
Diesel Plus,35.2,42.58,39.67
Kerosene,34.59,47.15,#N/A
