Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),44.1,55.54,#N/A
Gasoline (RON95),41.25,54.4,48.8
Gasoline (RON91),40.25,52.6,46.58
Diesel,30.0,40.83,#N/A
Diesel Plus,35.35,42.83,40.97
Kerosene,34.79,47.2,#N/A
