YEAR,CIRCUMFERENCIAL AND RADIAL ROAD,NAME,CAR,PUJ,UV,TAXI,PUB,TRUCK,TRAILER,MC,TRICYCLE,TOTAL
2018,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"133,427","1,378","6,886","6,552",908,"12,624",790,"73,169",10,"235,744"
2018,R1,ROXAS BLVD.,"129,475",86,"6,366","16,387","1,782",992,"2,795","45,199",405,"203,487"
2018,R2,TAFT AVE.,"37,789","11,974","10,737","5,644","4,129",692,4,"20,338",459,"91,766"
2018,R3,SSH,"56,104",39,384,"4,382",748,"6,807","2,872","29,545",28,"100,909"
2018,R4,SHAW BLVD.,"52,128","5,801","3,499","3,684",69,"1,250",155,"36,486",5,"103,077"
2018,R5,ORTIGAS AVE.,"79,128","10,674","8,542","3,946","1,115","5,515",638,"64,245",677,"174,480"
2018,R6,MAGSAYSAY BLVD.,"59,811","6,089",159,"4,776",756,"2,821",412,"37,237","1,666","113,727"
2018,R6,AURORA BLVD.,"37,881","14,975","8,361","6,047",70,"2,027",38,"33,970",94,"103,463"
2018,R7,QUEZON AVE.,"120,080","6,230","11,712","16,214","1,397","4,123",319,"44,462",67,"204,604"
2018,R7,COMMONWEALTH AVE.,"131,521","12,447","12,547","15,878","5,608","5,905",381,"60,040",589,"244,916"
2018,R8,A. BONIFACIO,"32,136","2,980",161,881,"1,408","8,662","2,695","14,271",882,"64,076"
2018,R9,RIZAL AVE.,"37,404","11,440",42,"3,062",370,"2,618",4,"32,959","1,574","89,473"
2018,R10,DEL PAN,"32,883","1,738",153,"2,839",84,"5,416","8,235","28,426","2,483","82,257"
2018,,MARCOS HIGHWAY,"98,705","13,152","4,006","6,797",73,"5,351",369,"49,597",164,"178,214"
2018,,MCARTHUR HIGHWAY,"34,663","8,398",21,"4,189","2,034","2,936",516,"39,159",249,"92,165"
2017,C1,RECTO,"21,366","13,134","2,172","4,069",545,584,3,"19,551","3,253","64,677"
2017,C2,MENDOZA,"49,430",56,519,"5,358",213,"5,102",731,"21,983",987,"84,379"
2017,C2,PRES. QUIRINO AVE.,"59,647","1,574",454,"6,852",99,"5,958",981,"27,686","1,867","105,118"
2017,C3,ARANETA AVE.,"40,306","1,945",14,"4,207",6,"4,163",607,"26,107","2,675","80,030"
2017,C4,EDSA,"247,527","2,369","7,229","20,022","12,283","8,830",2,"69,433",28,"367,723"
2017,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"133,171",923,"8,442","7,293",221,"10,121",680,"57,881",19,"218,751"
2017,R1,ROXAS BLVD.,"120,524",42,"7,626","16,660","2,103",747,"1,111","42,191",116,"191,120"
2017,R2,TAFT AVE.,"36,558","12,152","13,236","5,643","3,749",640,10,"18,028",570,"90,586"
2017,R3,SSH,"65,381",353,684,"6,650",892,"5,182","2,376","21,797",62,"103,377"
