Year,Month,For Lifeline Customers,kWh Consumption,Total Bill
2010,11,FALSE,1000,11.6736
2010,11,FALSE,1500,11.7188
2010,11,FALSE,3000,11.8391
2010,11,FALSE,5000,11.8872
2010,12,TRUE,50,5.0779
2010,12,TRUE,70,6.5371
2010,12,TRUE,100,7.9797
2010,12,FALSE,200,9.9935
2010,12,FALSE,300,10.367
2010,12,FALSE,400,10.7409
2010,12,FALSE,500,11.4199
2010,12,FALSE,600,11.4102
2010,12,FALSE,700,11.4103
2010,12,FALSE,800,11.4167
2010,12,FALSE,900,11.4217
2010,12,FALSE,1000,11.4257
2010,12,FALSE,1500,11.4709
2010,12,FALSE,3000,11.5912
2010,12,FALSE,5000,11.6393
2011,1,TRUE,50,4.9213
2011,1,TRUE,70,6.3259
2011,1,TRUE,100,7.7137
2011,1,FALSE,200,9.6746
2011,1,FALSE,300,10.0852
2011,1,FALSE,400,10.4942
2011,1,FALSE,500,11.2346
2011,1,FALSE,600,11.2248
2011,1,FALSE,700,11.2249
2011,1,FALSE,800,11.2313
2011,1,FALSE,900,11.2362
2011,1,FALSE,1000,11.2402
2011,1,FALSE,1500,11.2854
2011,1,FALSE,3000,11.4056
2011,1,FALSE,5000,11.4537
2011,2,TRUE,50,5.0409
2011,2,TRUE,70,6.4763
2011,2,TRUE,100,7.8949
2011,2,FALSE,200,9.9052
2011,2,FALSE,300,10.3158
2011,2,FALSE,400,10.7249
2011,2,FALSE,500,11.4652
2011,2,FALSE,600,11.4554
2011,2,FALSE,700,11.4556
2011,2,FALSE,800,11.4619
2011,2,FALSE,900,11.4669
2011,2,FALSE,1000,11.4708
2011,2,FALSE,1500,11.516
2011,2,FALSE,3000,11.6362
2011,2,FALSE,5000,11.6843
2011,3,TRUE,50,4.9911
2011,3,TRUE,70,6.4152
2011,3,TRUE,100,7.8226
2011,3,FALSE,200,9.8259
2011,3,FALSE,300,10.2365
2011,3,FALSE,400,10.6455
2011,3,FALSE,500,11.3859
2011,3,FALSE,600,11.3761
2011,3,FALSE,700,11.3762
2011,3,FALSE,800,11.3826
2011,3,FALSE,900,11.3875
2011,3,FALSE,1000,11.3915
2011,3,FALSE,1500,11.4367
2011,3,FALSE,3000,11.5569
2011,3,FALSE,5000,11.605
2011,4,TRUE,50,5.1258
2011,4,TRUE,70,6.5847
2011,4,TRUE,100,8.0268
2011,4,FALSE,200,10.0991
2011,4,FALSE,300,10.5097
2011,4,FALSE,400,10.9188
2011,4,FALSE,500,11.6591
2011,4,FALSE,600,11.6493
2011,4,FALSE,700,11.6495
2011,4,FALSE,800,11.6558
2011,4,FALSE,900,11.6608
2011,4,FALSE,1000,11.6647
2011,4,FALSE,1500,11.7099
2011,4,FALSE,3000,11.8301
2011,4,FALSE,5000,11.8782
2011,5,TRUE,50,5.1003
2011,5,TRUE,70,6.5426
2011,5,TRUE,100,7.968
2011,5,FALSE,200,9.9862
2011,5,FALSE,300,10.3968
2011,5,FALSE,400,10.8059
2011,5,FALSE,500,11.5462
2011,5,FALSE,600,11.5364
2011,5,FALSE,700,11.5366
2011,5,FALSE,800,11.5429
2011,5,FALSE,900,11.5479
2011,5,FALSE,1000,11.5518
2011,5,FALSE,1500,11.597
