Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),54.20,85.37,69.59
Gasoline (RON95),52.80,73.50,61.25
Gasoline (RON91),51.80,69.00,59.9
Diesel,48.00,62.50,53.5
Diesel Plus,54.10,71.40,66.45
Kerosene,68.64,83.70,69.66
