Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),56.60,88.07,71.58
Gasoline (RON95),55.00,83.05,61.35
Gasoline (RON91),54.00,77.40,62.95
Diesel,51.00,69.35,56.6
Diesel Plus,56.90,76.15,70.3
Kerosene,72.34,83.70,73.36
