Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),54.50,87.52,68.91
Gasoline (RON95),51.70,72.85,59.4
Gasoline (RON91),50.60,68.35,63.7
Diesel,47.75,63.70,54.1
Diesel Plus,55.40,72.65,67.29
Kerosene,69.89,80.74,72.51
