Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),52.65,73.76,66.33
Gasoline (RON95),50.55,73.62,53.45
Gasoline (RON91),49.75,68.45,56.0
Diesel,48.20,64.99,53.5
Diesel Plus,54.30,69.35,54.3
Kerosene,69.99,80.84,71.02
