Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),55.70,86.52,69.17
Gasoline (RON95),53.70,74.65,66.4
Gasoline (RON91),52.70,70.15,64.35
Diesel,49.80,64.40,55.4
Diesel Plus,56.00,73.44,69.4
Kerosene,70.49,83.70,71.51
