Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),51.80,72.65,64.23
Gasoline (RON95),50.70,72.34,58.35
Gasoline (RON91),49.60,65.84,55.85
Diesel,46.90,62.49,53.9
Diesel Plus,52.40,68.85,52.4
Kerosene,69.54,80.39,72.16
