Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),61.55,88.47,80.1
Gasoline (RON95),59.00,83.45,72.7
Gasoline (RON91),58.00,77.80,66.3
Diesel,52.90,68.10,61.95
Diesel Plus,59.70,81.40,71.28
Kerosene,72.29,84.06,73.91
