Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),57.50,88.72,72.94
Gasoline (RON95),56.00,83.70,69.35
Gasoline (RON91),55.00,78.05,63.6
Diesel,52.00,70.60,60.4
Diesel Plus,58.30,77.40,71.35
Kerosene,73.84,83.84,74.86
