Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),52.40,74.35,57.9
Gasoline (RON95),50.55,72.32,60.75
Gasoline (RON91),49.75,67.15,59.25
Diesel,48.97,65.69,54.5
Diesel Plus,54.50,72.05,58.1
Kerosene,71.14,81.99,72.15
