Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),57.65,86.77,70.23
Gasoline (RON95),55.00,81.75,62.55
Gasoline (RON91),54.00,76.10,61.85
Diesel,52.00,70.25,60.55
Diesel Plus,59.60,81.70,71.25
Kerosene,74.04,84.04,75.06
