Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),60.7,80.45,#N/A
Gasoline (RON95),57.7,81.2,65.84
Gasoline (RON91),57.55,75.55,65.28
Diesel,53.8,67.6,60.12
Diesel Plus,59.75,74.4,63.15
Kerosene,73.09,84.48,#N/A
