Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),53.55,74.54,69.78
Gasoline (RON95),51.45,74.62,58.3
Gasoline (RON91),50.85,68.49,57.0
Diesel,48.77,66.94,55.05
Diesel Plus,55.00,71.30,67.99
Kerosene,69.94,81.20,70.95
