Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),51.40,84.87,69.5
Gasoline (RON95),50.30,71.03,58.15
Gasoline (RON91),49.15,65.70,55.1
Diesel,45.40,59.80,50.35
Diesel Plus,51.30,70.20,61.5
Kerosene,66.59,77.65,67.6
