Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),51.40,84.42,66.7
Gasoline (RON95),50.30,72.55,57.7
Gasoline (RON91),49.15,66.75,56.7
Diesel,45.44,58.90,54.7
Diesel Plus,51.05,69.30,60.6
Kerosene,66.29,77.65,67.3
