Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),52.10,73.20,64.78
Gasoline (RON95),50.25,72.89,60.8
Gasoline (RON91),49.45,66.00,58.75
Diesel,47.90,64.59,56.0
Diesel Plus,54.50,70.95,67.05
Kerosene,70.34,81.19,71.35
