Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),56.40,85.62,72.73
Gasoline (RON95),55.90,80.60,66.8
Gasoline (RON91),54.90,76.45,63.0
Diesel,51.20,66.95,59.05
Diesel Plus,57.75,80.25,67.95
Kerosene,71.26,83.31,72.3
