Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),56.00,85.12,72.23
Gasoline (RON95),55.00,80.10,69.7
Gasoline (RON91),54.00,74.45,63.0
Diesel,52.00,67.95,57.9
Diesel Plus,58.55,81.25,68.95
Kerosene,71.90,84.40,73.41
