Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),61.15,86.67,74.3
Gasoline (RON95),57.9,81.65,66.96
Gasoline (RON91),57.4,76.0,66.0
Diesel,53.15,67.0,58.9
Diesel Plus,59.15,73.8,63.83
Kerosene,72.04,83.79,#N/A
