Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),57.70,89.32,75.5
Gasoline (RON95),56.00,84.30,69.95
Gasoline (RON91),55.00,78.65,65.2
Diesel,53.00,71.55,61.5
Diesel Plus,58.79,83.00,64.5
Kerosene,74.80,84.99,76.01
