Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),56.80,86.02,73.13
Gasoline (RON95),56.30,81.00,67.2
Gasoline (RON91),55.80,75.35,61.5
Diesel,52.14,67.35,59.45
Diesel Plus,58.25,80.65,68.35
Kerosene,71.59,83.60,72.61
