City,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,69.60,74.90,#N/A
Caloocan City,59.00,73.00,69.95
Caloocan City,58.00,68.95,68.95
Caloocan City,68.00,78.30,77.25
Caloocan City,75.25,83.65,#N/A
Caloocan City,80.40,81.62,#N/A
Quezon City,71.60,73.29,71.60
Quezon City,65.00,75.05,75.05
Quezon City,61.50,72.85,66.60
Quezon City,60.80,71.85,67.05
Quezon City,69.20,78.89,75.25
Quezon City,75.25,80.70,75.25
Quezon City,81.24,87.67,#N/A
Manila,71.60,74.50,#N/A
Manila,66.15,74.98,#N/A
Manila,65.00,72.03,70.50
Manila,64.00,70.70,69.50
Manila,71.60,78.55,78.30
Manila,74.30,850.31,#N/A
Manila,80.46,88.00,#N/A
Pasig City,71.10,71.55,#N/A
Pasig City,68.05,76.30,#N/A
Pasig City,62.60,71.25,68.75
Pasig City,62.30,70.80,66.20
Pasig City,71.30,80.00,75.70
Pasig City,77.00,82.25,#N/A
Pasig City,81.30,84.25,#N/A
Taguig Cty,76.68,78.53,#N/A
Taguig Cty,68.90,78.70,77.90
Taguig Cty,66.20,76.19,#N/A
Taguig Cty,65.20,75.79,71.68
Taguig Cty,74.30,80.80,79.65
Taguig Cty,81.65,84.40,#N/A
Taguig Cty,89.20,89.34,#N/A
