Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),52.45,74.10,71.95
Gasoline (RON95),51.00,76.77,54.6
Gasoline (RON91),50.00,66.90,55.4
Diesel,50.00,63.80,53.7
Diesel Plus,54.80,73.34,58.4
Kerosene,69.64,83.69,70.67
