Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),55.45,75.60,72.43
Gasoline (RON95),53.25,77.27,70.1
Gasoline (RON91),52.55,67.65,60.95
Diesel,52.00,65.50,58.95
Diesel Plus,58.60,75.85,72.1
Kerosene,73.74,85.00,74.77
