Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),54.15,75.80,73.65
Gasoline (RON95),52.90,78.47,68.86
Gasoline (RON91),52.00,68.60,58.65
Diesel,50.00,64.70,54.6
Diesel Plus,56.10,74.24,59.3
Kerosene,71.44,83.69,72.47
