Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),55.45,76.40,73.23
Gasoline (RON95),53.95,78.07,70.9
Gasoline (RON91),52.95,68.46,63.55
Diesel,51.70,65.70,60.45
Diesel Plus,58.95,76.05,72.3
Kerosene,71.74,85.50,75.27
