Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),55.45,76.70,70.99
Gasoline (RON95),53.00,79.37,61.35
Gasoline (RON91),52.00,69.50,59.55
Diesel,50.00,65.50,57.05
Diesel Plus,57.50,75.04,60.9
Kerosene,72.50,84.90,73.87
