Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),55.05,76.00,70.29
Gasoline (RON95),53.00,78.67,71.2
Gasoline (RON91),52.00,69.05,60.2
Diesel,50.00,65.10,56.65
Diesel Plus,57.60,74.64,68.1
Kerosene,72.64,84.20,73.67
