Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),59.15,75.63,71.1
Gasoline (RON95),54.95,71.45,64.04
Gasoline (RON91),53.95,70.15,64.02
Diesel,47.7,59.17,54.54
Diesel Plus,53.85,62.41,57.25
Kerosene,56.93,66.14,64.55
