Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),64.9,76.2,73.97
Gasoline (RON95),61.0,73.8,69.4
Gasoline (RON91),60.0,73.39,68.46
Diesel,69.6,80.85,78.4
Diesel Plus,76.4,84.2,81.31
Kerosene,77.2,87.35,#N/A
