Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),73.2,83.95,81.92
Gasoline (RON95),73.2,83.95,84.55
Gasoline (RON91),70.75,81.3,78.6
Diesel,69.51,77.9,76.63
Diesel Plus,70.05,77.45,76.42
Kerosene,77.1,82.57,79.3
