Product,Overall Range Min,Overall Range Max,Common Price
Gasoline (RON97/100),73.45,87.4,86.5
Gasoline (RON95),66.9,85.05,76.09
Gasoline (RON91),66.5,83.05,74.78
Diesel,66.5,80.75,75.39
Diesel Plus,77.05,83.75,77.32
Kerosene,0.0,84.29,82.55
